days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5039.380972216054,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5033.354480234721,100.0
179,0,1,178,-5042.5527214019,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5042.1294800661435,100.0
195,1,1,193,-5014.91832363862,100.0
179,0,1,178,-5041.170390871564,100.0
188,0,0,188,-5056.962565945582,100.0
190,2,0,188,-5014.877059472287,100.0
188,0,2,186,-5236.637058554511,95.0
194,0,1,193,-5031.118543066823,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
178,1,3,174,-5031.517464209407,95.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.0489274447655,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.777381230602,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5037.979645844778,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5039.230671978461,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5036.424359728461,100.0
189,1,0,188,-5035.455409224223,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5035.75671019005,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5036.486366413691,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5038.526282948224,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
